Year,Region,FuelType,Mileage,Price,Marca,Name
2001,Echmiadzin,Gasoline,165000,4350,Hyundai,Sonata
2001,Echmiadzin,Gasoline,140000,3900,Toyota,Platz
2005,Kanaker-Zeytun,Diesel,308000,12000,Mercedes-Benz,Sprinter
1986,Avan,Gasoline,100000,8200,UAZ,(УАЗ) 452
2004,Malatia-Sebastia,Gasoline,165000,10400,Toyota,RAV4
2011,Avan,Gasoline,210000,6200,Peugeot,Bipper
2021,Shengavit,Gasoline,94000,45000,Infiniti,QX80
2004,Shengavit,Diesel,137000,13800,Ford,Transit
2008,Avan,Gasoline,250000,8500,Nissan,X-Trail
2019,Gyumri,Gasoline,35000,22500,Toyota,Camry
2016,Arabkir,Gasoline,127000,12300,Ford,Fusion (North America)
2002,Akhuryan,Diesel,252000,9200,Ford,Transit
1998,Avan,Gasoline,292000,4100,Opel,Astra
2015,Kentron,Gasoline,74000,115000,Mercedes-Benz,G-Class AMG
2020,Kentron,Gasoline,30000,130000,Toyota,Land Cruiser
2019,On the way,Gasoline,85901,10500,Nissan,Sentra
2017,Kentron,Gasoline,38000,16000,Ford,EcoSport
2018,Nor Nork,Gasoline,150000,18500,MINI,Countryman
2001,Ashtarak,Gasoline,100000,3700,Nissan,Primera
2018,Ashtarak,Gasoline,50000,15000,Jeep,Cherokee
2004,Sevan,Gasoline,450000,10800,BMW,X5
2007,Arabkir,Gasoline,153000,8200,Toyota,Camry
2017,Avan,Gasoline,92000,17300,Jeep,Cherokee
2000,Hrazdan,Gasoline,233000,5800,Mercedes-Benz,E-Class
2010,Vedi,Gasoline,101136,13200,Hyundai,Tucson
2021,Echmiadzin,Gasoline,10000,36700,Infiniti,QX50
2010,Echmiadzin,Gasoline,12443,6800,VAZ,(Lada) 2110
1996,Yeghegnadzor,Gasoline,300000,5700,BMW,M5
2002,Chambarak,Gasoline,250000,6000,Opel,Zafira
2005,Gyumri,Gasoline,183000,9700,BMW,X5
2006,Kanaker-Zeytun,Gasoline,110000,4200,Peugeot,206 hatchback
2007,Erebuni,Gasoline,270000,7000,BMW,3 Series hatchback
1999,Gyumri,Gasoline,264000,4800,Honda,CR-V
2014,Shengavit,Gasoline,180000,10000,Nissan,Altima
2013,Avan,Gasoline,11250,10300,Nissan,Altima
1999,Kanaker-Zeytun,Gasoline,255000,4100,Peugeot,406
2009,Hrazdan,Gasoline,245000,14000,BMW,X5
2010,Gyumri,Gasoline,180000,11900,Toyota,Camry
2008,Gyumri,Gasoline,110000,9900,Nissan,X-Trail
2020,Gyumri,Gasoline,70000,32000,Infiniti,QX50
2017,Charentsavan,Gasoline,80000,16500,Jeep,Compass
2006,Gyumri,Gasoline,178000,6200,Nissan,Murano
2006,Abovian,Gasoline,185000,17300,Toyota,Alphard
2009,Gyumri,Gasoline,160000,10200,Toyota,Camry
2008,Shahumyan,Gasoline,79000,2200,VAZ,(Lada) 2107
2006,Gyumri,Gasoline,220000,24500,Lexus,GX
2004,Nor Geghi,Gasoline,350000,8300,BMW,5 Series
2006,Armavir,Gasoline,210000,15500,BMW,X5
2019,Shengavit,Gasoline,51000,19000,Mazda,6
1995,Spitak,Gasoline,15680,4200,Mercedes-Benz,320
2007,Erebuni,Gasoline,160000,11000,BMW,3 Series coupe
2009,Ajapnyak,Gasoline,79000,8900,Mercedes-Benz,B-Class hatchback
1989,Ararat,Gasoline,265000,4000,Mercedes-Benz,300
2014,Kanaker-Zeytun,Hybrid,70000,14900,Toyota,Prius
2004,Avan,Gasoline,195000,6800,Nissan,X-Trail
2001,Erebuni,Gasoline,273000,7800,Mercedes-Benz,C-Class
2014,Avan,Diesel,259000,38900,Mercedes-Benz,Sprinter
1996,Arabkir,Gasoline,409000,3000,Mercedes-Benz,C-Class
2008,Avan,Gasoline,230000,42000,Lexus,LX
1999,Gyumri,Gasoline,390000,4500,Mercedes-Benz,E-Class
2015,Erebuni,Gasoline,195000,14400,Toyota,Camry
2003,Malatia-Sebastia,Gasoline,18000,3200,Nissan,March hatchback
2001,Martuni,Gasoline,400000,4750,Opel,Astra
2002,Kentron,Gasoline,126000,8400,BMW,3 Series coupe
2018,Kentron,Gasoline,93000,37000,BMW,5 Series
2013,Kentron,Gasoline,160000,14000,BMW,X1
2003,Ashtarak,Gasoline,227000,8700,Volkswagen,Touareg
2010,Arabkir,Gasoline,128000,9900,Volkswagen,Tiguan
2019,Arabkir,Gasoline,65000,18800,Hyundai,Kona
2023,Kentron,Gasoline,4919,41500,Toyota,RAV4
2017,Arabkir,Gasoline,31000,10300,Ford,Focus
2011,Masis,Gasoline,168000,8200,Nissan,Tiida hatchback
2003,Erebuni,Gasoline,270000,5000,Opel,Astra wagon
2013,On the way,Hybrid,147726,6200,Chevrolet,Volt
2017,Ajapnyak,Gasoline,55400,13500,Hyundai,Sonata
2009,Kentron,Gasoline,260000,14000,BMW,X5
2003,Artashat,Gasoline,100000,4000,Opel,Astra hatchback
2019,Armavir,Gasoline,80000,15300,Dodge,Journey
2017,Kentron,Gasoline,48000,14000,Kia,Optima
1978,Kentron,Gasoline,217000,950,IZH,(ИЖ) Moskvich-412
2019,Arabkir,Gasoline,60000,14000,Hyundai,Elantra
2000,Kanakeravan,Gasoline,225800,5500,BMW,3 Series
1998,Martuni,Gasoline,22000,3500,Opel,Vectra
2008,Artashat,Gasoline,355678,1200,Mitsubishi,Lancer
2007,Nor Kharberd,Gasoline,170000,12000,Audi,Q7
1999,Erebuni,Gasoline,290000,4700,Opel,Astra hatchback
2008,Ajapnyak,Gasoline,310000,9000,Honda,CR-V
2019,Nor Kharberd,Gasoline,43000,24000,Mazda,CX-5
2005,Shengavit,Gasoline,150000,12000,BMW,X5
2008,Kentron,Gasoline,250000,9500,BMW,5 Series
2019,Kentron,Gasoline,50000,24000,Honda,Odyssey
2016,Kentron,Gasoline,50000,13500,Kia,Optima
2003,Stepanavan,Gasoline,19850,3000,GAZ,(ГАЗ) 3110 Volga
1998,Vanadzor,Gasoline,258000,5500,Mercedes-Benz,C-Class
2009,Erebuni,Gasoline,107000,11500,Volkswagen,Touareg
2019,Avan,Gasoline,32000,14800,Kia,Forte
2016,Ajapnyak,Gasoline,80664,17000,Infiniti,Q50
2018,Avan,Gasoline,68000,20500,Kia,Sportage
2000,Erebuni,Gasoline,187453,5200,Opel,Astra hatchback
1998,Gyumri,Gasoline,270000,5200,Mercedes-Benz,C-Class
2001,Gyumri,Gasoline,240000,4700,Volkswagen,Passat
2008,Gyumri,Gasoline,195000,2300,VAZ,(Lada) Kalina hatchback
1999,Talin,Gasoline,190000,4900,BMW,3 Series
2005,Kentron,Gasoline,270000,7900,Mercedes-Benz,C-Class
2006,Avan,Gasoline,180000,7900,Kia,Sorento
2017,Arabkir,Gasoline,80000,13200,Hyundai,Elantra
2003,Arabkir,Gasoline,345678,5200,Mitsubishi,Grandis
2019,Nor Nork,Gasoline,80000,18000,Jeep,Cherokee
2007,Ajapnyak,Gasoline,340000,14500,Toyota,Alphard
1999,Nor Nork,Gasoline,120000,13750,Cadillac,DeVille
2002,Stepanavan,Gasoline,142000,3600,Volkswagen,Passat
2010,Jrvezh,Gasoline,77860,3500,VAZ,(Lada) 2107
2013,Avan,Gasoline,170000,15000,Kia,Sorento
2016,Armavir,Gasoline,138000,12000,Nissan,Rogue
2011,Armavir,Gasoline,180000,5000,VAZ,(Lada) 2114 hatchback
2001,Jrvezh,Gasoline,297000,5800,Volvo,S60
2017,Ajapnyak,Gasoline,150000,23000,Mazda,CX-5
2009,Ashtarak,Gasoline,167000,12500,Mercedes-Benz,C-Class
2018,Davtashen,Gasoline,65000,13300,Hyundai,Elantra
1995,Ijevan,Gasoline,100000,4600,Mercedes-Benz,C-Class
2011,Masis,Gasoline,59000,4300,VAZ,(Lada) 2107
2004,Masis,Gasoline,195000,8500,Mercedes-Benz,E-Class
2014,Shengavit,Diesel,128000,16000,Mercedes-Benz,Sprinter
2021,Masis,Gasoline,11000,28500,Mazda,CX-5
2017,Shengavit,Gasoline,31800,24500,Toyota,Camry
2021,Gyumri,Gasoline,22000,32000,Volkswagen,Tiguan
2006,Malatia-Sebastia,Gasoline,230000,3900,VAZ,(Lada) 2121 (4x4)
2012,Abovian,Gasoline,102000,12500,Toyota,Camry
2013,Kanaker-Zeytun,Gasoline,238000,11000,Nissan,Altima
1999,Ijevan,Gasoline,320000,3500,Opel,Astra
2000,Kentron,Gasoline,197000,5199,Opel,Astra hatchback
2005,Avan,Gasoline,140000,4500,VAZ,(Lada) 2110
2006,Kentron,Gasoline,200000,10000,Mercedes-Benz,E-Class
2002,Kentron,Gasoline,172000,17000,BMW,5 Series
2010,Ajapnyak,Gasoline,150000,20000,Toyota,Alphard
2005,Hrazdan,Gasoline,265000,5300,GAZ,(ГАЗ) ГАЗель
2006,Ajapnyak,Gasoline,250000,11000,Mercedes-Benz,ML
2005,Abovian,Gasoline,140000,5000,Toyota,Vitz hatchback
2003,Abovian,Gasoline,240000,10400,Mercedes-Benz,E-Class
1994,Martuni,Gasoline,324000,5200,Mercedes-Benz,220
2004,Hrazdan,Gasoline,215000,550,GAZ,(ГАЗ) 31105 Volga
2019,Malatia-Sebastia,Gasoline,53000,32000,Kia,K7
2011,Shengavit,Gasoline,350000,4500,BYD,F3
2008,Gyumri,Gasoline,200000,5800,Nissan,Sunny
2000,Nork-Marash,Gasoline,438000,5700,Mercedes-Benz,E-Class
1999,Armavir,Gasoline,1000000,4000,Opel,Astra
2020,Malatia-Sebastia,Electric,32000,30000,Tesla,Model Y
2019,Malatia-Sebastia,Electric,84000,39000,Tesla,Model S
2000,Dzoraghbyur,Gasoline,25000,3800,Mitsubishi,Pajero IO
2019,Malatia-Sebastia,Gasoline,29000,79000,Mercedes-Benz,GLE Coupe
2018,Davtashen,Gasoline,76000,19500,Toyota,Camry
2017,Davtashen,Gasoline,45000,24000,Mercedes-Benz,CLA-Class
2016,Davtashen,Gasoline,100000,20000,Infiniti,QX70
2021,Kentron,Hybrid,10000,35000,Toyota,Camry
2016,Davtashen,Gasoline,150000,10000,Nissan,Sentra
2017,Davtashen,Gasoline,17000,8300,Ford,Focus hatchback
2016,Davtashen,Electric,69000,24000,Tesla,Model S
2009,Tairov,Gasoline,190000,15500,Infiniti,FX35 wagon
2010,Davtashen,Gasoline,230000,36000,Lexus,LX
2010,Davtashen,Gasoline,135000,10000,Toyota,Camry
2000,Shengavit,Gasoline,258000,9000,Mercedes-Benz,E-Class
1998,Malatia-Sebastia,Gasoline,300000,200,Ford,Mondeo
1994,Stepanavan,Gasoline,12000,3800,VAZ,(Lada) 2121 Niva
2015,Kanaker-Zeytun,Gasoline,9400,10500,Kia,Forte
2004,Vanadzor,Gasoline,120000,250,GAZ,(ГАЗ) 31105 Volga
2002,Kanaker-Zeytun,Gasoline,370000,3600,Opel,Astra hatchback
2008,Armavir,Gasoline,200000,9000,Mercedes-Benz,E-Class
2001,Malatia-Sebastia,Gasoline,250000,6200,BMW,3 Series
2017,Arbat,Gasoline,110000,17500,Mazda,6
2016,Karbi,Gasoline,128714,9000,Chevrolet,Cruze
2023,Arabkir,Gasoline,6000,20000,Hyundai,Elantra
2011,Karbi,Gasoline,46234,3600,VAZ,(Lada) 2107
2016,Malatia-Sebastia,Gasoline,72000,11900,Chrysler,200
1996,Malatia-Sebastia,Gasoline,257400,1000,GAZ,(ГАЗ) 3102 Volga
2014,Arabkir,Gasoline,175000,42000,Mercedes-Benz,S-Class
2019,Noyemberyan,Gasoline,85000,17000,Nissan,Rogue
2006,Noyemberyan,Gasoline,270000,7000,BMW,X3
2004,Malatia-Sebastia,Gasoline,283000,5000,Nissan,Tiida
2004,Sardarapat,Gasoline,220000,13000,Mercedes-Benz,E-Class AMG
2016,Erebuni,Gasoline,235000,31500,Mercedes-Benz,E-Class
2017,Erebuni,Gasoline,60000,25000,Mercedes-Benz,C-Class
2021,Avan,Gasoline,20000,57500,Lexus,RX
1999,Yeghvard,Gasoline,400000,4500,Opel,Astra hatchback
2018,Vanadzor,Gasoline,53000,12200,Ford,Fusion (North America)
2018,Malatia-Sebastia,Gasoline,74000,12000,Hyundai,Elantra
1995,Martuni,Gasoline,400000,5200,Mercedes-Benz,C-Class
2018,Malatia-Sebastia,Gasoline,25000,11500,Chevrolet,Cruze
1999,Martuni,Gasoline,395000,3300,Opel,Vectra
2022,Malatia-Sebastia,Gasoline,3000,41000,Mazda,CX-5
2017,Erebuni,Gasoline,96000,15500,Nissan,Rogue
2018,Malatia-Sebastia,Gasoline,32224,22000,Mazda,6
1998,Erebuni,Gasoline,300000,6500,Mercedes-Benz,Vito
2022,On the way,Electric,43000,23000,Tesla,Model 3
1999,Ijevan,Gasoline,290000,3200,Opel,Astra hatchback
1999,Sarnaghbyur,Gasoline,360000,4000,Opel,Astra hatchback
2002,Gyumri,Gasoline,200,1500,VAZ,(Lada) 21099
2020,Avan,Gasoline,33000,29500,Honda,CR-V
2004,Spitak,Gasoline,113000,5500,Nissan,Teana
2013,Gyumri,Gasoline,1600,1250,Toyota,Camry
1994,Shengavit,Gasoline,330000,5300,Mercedes-Benz,E-Class
2019,Abovian,Gasoline,27000,19200,Toyota,C-HR
1992,Erebuni,Gasoline,180000,15000,Mercedes-Benz,S-Class
2006,Nor Nork,Gasoline,168000,10500,Hyundai,Santa Fe
2004,Noyemberyan,Gasoline,208000,4500,Mitsubishi,Colt hatchback
1996,Abovian,Gasoline,300000,5800,Mercedes-Benz,S-Class
2002,Zovuni,Gasoline,250000,3200,Peugeot,406
1985,Abovian,Gasoline,190000,2100,VAZ,(Lada) 2107
2009,Kentron,Gasoline,156000,8300,Toyota,Camry
2018,Abovian,Gasoline,30000,20000,Mazda,6
2005,Shengavit,Diesel,200000,20500,Mercedes-Benz,Sprinter
2014,Arabkir,Hybrid,160000,9700,Chevrolet,Volt
2022,Arabkir,Gasoline,48000,29900,Ford,Bronco Sport
2010,Artik,Gasoline,205000,20500,Land,Rover Range Rover
2000,Talin,Gasoline,250000,3600,Opel,Astra hatchback
2019,Ashtarak,Gasoline,177000,13800,Ford,Fusion (North America)
2018,Arabkir,Gasoline,56000,34000,Mercedes-Benz,GLE
2021,Kentron,Gasoline,44000,29500,Chevrolet,Camaro coupe
1997,Artashat,Gasoline,170000,3500,VAZ,(Lada) 21093 hatchback
2017,Kentron,Gasoline,130000,21000,GMC,Acadia
2015,Arabkir,Gasoline,163300,19500,Dodge,Charger
2016,Arabkir,Gasoline,80500,39000,Jaguar,F-Pace
2018,Surenavan,Gasoline,63551,65000,Lexus,GX
2010,Hrazdan,Diesel,255000,13000,Ford,Transit
2014,Kentron,Gasoline,104000,15900,Toyota,Camry
2007,Malatia-Sebastia,Gasoline,160000,10001,Hummer,H3
2019,Malatia-Sebastia,Diesel,123802,60000,Mercedes-Benz,Sprinter
2018,Nor Nork,Gasoline,50000,18500,Toyota,Camry
2010,Ayntap,Gasoline,25000,5300,VAZ,(Lada) Priora hatchback
1998,Masis,Gasoline,300000,3000,Opel,Astra wagon
2006,Erebuni,Gasoline,146000,24000,Lexus,GX
1995,Erebuni,Diesel,200000,3500,Ford,Transit
2019,Abovian,Gasoline,25700,15000,Mitsubishi,Outlander Sport
2019,Abovian,Gasoline,25000,15000,Mitsubishi,Outlander Sport
2016,Gyumri,Gasoline,106000,12200,Hyundai,Elantra
2005,Artashat,Gasoline,226000,7000,Opel,Zafira
2011,Gyumri,Gasoline,95000,3200,VAZ,(Lada) 2107
2006,Nor Nork,Gasoline,240000,4500,Nissan,Teana
2021,Kentron,Gasoline,4000,28500,Kia,K5
2020,Kentron,Gasoline,78000,13800,Kia,Forte
2017,Erebuni,Gasoline,101300,22300,Lexus,NX
2000,Dilijan,Diesel,100000,6000,Ford,Transit
2005,Vanadzor,Gasoline,360000,3650,Renault,Clio
2010,Artashat,Gasoline,78000,25000,Mercedes-Benz,E-Class AMG
2011,Avan,Gasoline,10000,11000,Kia,Sorento
1988,Aparan,Gasoline,80000,200,GAZ,(ГАЗ) 24 Volga
1989,Vanadzor,Gasoline,1200,2800,UAZ,(УАЗ) 31512
2004,Artik,Gasoline,223000,13900,Mercedes-Benz,Viano
1999,Vanadzor,Gasoline,298000,6200,Opel,Zafira
2018,Hrazdan,Gasoline,65913,11800,Nissan,Sentra
2011,Masis,Gasoline,143000,11400,Toyota,Avensis
2019,Masis,Gasoline,78000,11900,VAZ,(Lada) Vesta wagon
2019,Erebuni,Gasoline,29000,14400,Kia,Forte
1996,Vedi,Gasoline,200000,2300,Opel,Vectra
2007,Nor Nork,Gasoline,200000,3500,Chevrolet,Lacetti
1998,Vanadzor,Gasoline,350291,3500,Opel,Vectra
2018,Kentron,Gasoline,26000,23000,Toyota,Camry
2000,Gyumri,Gasoline,160000,20000,Lexus,LX
2021,Gyumri,Gasoline,59000,25000,Kia,Forte
2007,Arabkir,Gasoline,270000,7800,BMW,5 Series
2020,Arabkir,Gasoline,43000,26500,Mazda,CX-5
2015,Kentron,Gasoline,118000,13500,Toyota,Camry
2007,Jrvezh,Gasoline,162500,9500,Mercedes-Benz,E-Class
1999,Malatia-Sebastia,Gasoline,230000,4800,Opel,Zafira
1988,Artik,Gasoline,780000,3000,VAZ,(Lada) 2101
2000,Armavir,Gasoline,525000,3700,Mitsubishi,Chariot
2010,Davtashen,Gasoline,200000,7000,Kia,Forte
2018,Arabkir,Gasoline,90000,25900,Land,Rover Range Rover Evoque
1999,Ashtarak,Gasoline,280000,3600,Opel,Astra hatchback
1999,Kentron,Gasoline,350000,4600,Mercedes-Benz,C-Class
1997,Ajapnyak,Gasoline,300000,3500,Mercedes-Benz,E-Class
2000,Ptghni,Gasoline,490000,4500,Opel,Astra hatchback
2010,Martuni,Gasoline,280000,2800,VAZ,(Lada) 2114 hatchback
2016,Shengavit,Gasoline,130000,9600,Kia,Forte
1996,Martuni,Gasoline,370000,3400,Mercedes-Benz,C-Class
1998,Stepanavan,Gasoline,220000,5200,Mercedes-Benz,CLK-Class coupe
1996,Artashat,Gasoline,250000,4200,Volkswagen,Golf hatchback
2003,Artashat,Gasoline,341000,2300,VAZ,(Lada) 2107
2020,Ijevan,Gasoline,290000,4200,VAZ,(Lada) Niva
2006,Shengavit,Gasoline,148000,19000,Toyota,4Runner
2018,Arabkir,Gasoline,153000,18500,BMW,3 Series
2007,Armavir,Diesel,310000,6800,Opel,Zafira
2010,Armavir,Gasoline,52000,4200,VAZ,(Lada) 2105
2017,Davtashen,Gasoline,110000,16200,Volkswagen,Tiguan
2017,Davtashen,Gasoline,79000,19900,BMW,3 Series
2016,Nor Nork,Gasoline,102000,16000,Mazda,6
1998,Sevan,Gasoline,400000,4800,Mercedes-Benz,C-Class
2017,Armavir,Gasoline,45000,11000,Ford,Escape
2006,Echmiadzin,Gasoline,124000,6500,Mitsubishi,Pajero IO
1998,Shengavit,Gasoline,320000,5300,Mercedes-Benz,E-Class
2018,Davtashen,Gasoline,100000,24000,Toyota,Camry
2001,Kanakeravan,Gasoline,130000,1000,Rover,75
2022,Metsamor,Gasoline,7200,27500,Mazda,CX-5
2011,Metsamor,Hybrid,162000,7400,Chevrolet,Volt
2000,Vanadzor,Gasoline,200000,2000,GAZ,(ГАЗ)
2006,Metsamor,Gasoline,203000,5200,Nissan,Tiida hatchback
1996,Artashat,Gasoline,250000,4500,Mercedes-Benz,E-Class
2008,Metsamor,Gasoline,180000,7000,Opel,Astra hatchback
2019,Davtashen,Gasoline,29000,19000,Subaru,Legacy
2013,Kentron,Gasoline,134000,10500,Mazda,6
2015,Kentron,Gasoline,145000,9800,Ford,Fusion (North America)
2010,Davtashen,Gasoline,114000,11500,Land,Rover Freelander
2021,Kanaker-Zeytun,Gasoline,50000,38500,BMW,3 Series
1995,Ashtarak,Gasoline,180000,3700,VAZ,(Lada) 21099
2018,Shengavit,Gasoline,100000,17500,BMW,3 Series
2018,Gyumri,Gasoline,115000,15500,Chevrolet,Equinox
2017,Gyumri,Gasoline,154000,10500,Chevrolet,Cruze
2007,Masis,Gasoline,149000,24900,Lexus,GX
2015,Nor Nork,Gasoline,90000,31000,BMW,X5
2020,Ajapnyak,Gasoline,41000,72000,BMW,X5
2020,Avan,Electric,12000,20400,Tesla,Model 3
2017,Avan,Gasoline,70000,19900,Alfa,Romeo Stelvio
2019,Avan,Gasoline,50000,59400,Mercedes-Benz,GLE-Class
2017,Shengavit,Gasoline,70980,20000,Kia,Sorento
2008,Echmiadzin,Gasoline,220000,9900,Honda,Odyssey
1994,Echmiadzin,Gasoline,394406,4000,Mercedes-Benz,C-Class
2008,Gyumri,Gasoline,255000,4700,Mazda,Verisa hatchback
2014,Arabkir,Gasoline,105000,20500,BMW,X5
2002,Gyumri,Gasoline,180000,7500,BMW,X5
2015,Malatia-Sebastia,Gasoline,195000,58000,Mercedes-Benz,Maybach S-Class
2005,Kanaker-Zeytun,Gasoline,150000,7800,Mercedes-Benz,C-Class
2000,Nubarashen,Gasoline,315000,7200,Mercedes-Benz,M-Class
2020,Malatia-Sebastia,Gasoline,30000,52000,Land,Rover Range Rover Velar
2019,Russia,Gasoline,49000,70000,Land,Rover Range Rover Sport
2020,Nor Nork,Gasoline,15500,30000,Honda,Accord
2007,Abovian,Gasoline,288000,14500,Mitsubishi,Pajero
2022,Nor Nork,Gasoline,5500,42000,Mazda,CX-9
2019,Nor Nork,Gasoline,59000,25000,Mazda,CX-9
1997,Nor Nork,Gasoline,400000,5500,Mercedes-Benz,C-Class wagon
2008,Nor Nork,Gasoline,250000,9500,Mercedes-Benz,CLK-Class coupe
2006,Gyumri,Gasoline,270000,5500,Nissan,X-Trail
2012,Nor Nork,Gasoline,112000,8500,Kia,Forte
2018,Nor Nork,Gasoline,75000,13900,Toyota,Corolla
2000,Shengavit,Gasoline,205000,4700,Opel,Astra hatchback
2013,Kentron,Gasoline,80000,23000,Toyota,RAV4
2017,Kentron,Gasoline,90000,24000,Toyota,RAV4
2022,Kentron,Gasoline,1200,24000,Hyundai,Elantra
2020,Kentron,Gasoline,83000,21900,Volkswagen,Passat
2016,Kentron,Gasoline,95000,22000,Kia,Sorento
2013,Shengavit,Gasoline,180000,11600,Mazda,6
2005,Tsakkar,Gasoline,250000,3500,VAZ,(Lada) 2110
1993,Karbi,Gasoline,100,2000,Opel,Omega wagon
2012,Echmiadzin,Gasoline,105000,11000,Nissan,Maxima
1999,Erebuni,Gasoline,382010,4000,Volkswagen,Jetta
2005,Artashat,Gasoline,260000,6500,Chevrolet,Equinox
1997,Lusarat,Gasoline,114061,2500,Volkswagen,Golf hatchback
2008,Kentron,Gasoline,181000,4600,Ford,Focus
2012,Arabkir,Gasoline,107000,9300,Kia,Forte
2012,Ajapnyak,Gasoline,122000,14900,Toyota,Camry
2004,Davtashen,Gasoline,195000,8100,Kia,Sorento
2006,Noyemberyan,Gasoline,190000,5900,Nissan,Teana
2019,Shengavit,Gasoline,48000,14900,Kia,Forte
2002,Ajapnyak,Gasoline,293000,2800,Nissan,March hatchback
2000,Sisian,Gasoline,240000,6700,Opel,Zafira
2020,On the way,Electric,31231,12500,Chevrolet,Bolt hatchback
2022,Nor Nork,Electric,18000,24000,Mitsubishi,Airtrek EV
2013,Kentron,Gasoline,150000,18800,Infiniti,JX
2023,Avan,Gasoline,270,36000,Hyundai,Tucson
2022,Erebuni,Gasoline,9000,43000,Infiniti,QX50
2018,Malatia-Sebastia,Gasoline,86000,23900,Toyota,RAV4
2019,Nor Nork,Electric,26000,25000,Tesla,Model 3
1999,Echmiadzin,Gasoline,30000,3200,Opel,Vectra
2003,Gyumri,Gasoline,160000,6500,Opel,Zafira
2015,Shengavit,Gasoline,83000,28000,Infiniti,QX70
2019,Erebuni,Gasoline,32000,20000,Acura,ILX
1998,Shengavit,Gasoline,200000,7000,Mercedes-Benz,E-Class
2005,Shengavit,Gasoline,223000,7600,Kia,Sorento
2001,Armavir,Gasoline,180000,6000,Mercedes-Benz,C-Class
2011,Metsamor,Gasoline,110000,27000,Land,Rover Range Rover Sport
1997,Sisian,Gasoline,297000,2000,Opel,Astra hatchback
2003,Abovian,Gasoline,202000,5300,Opel,Astra hatchback
2020,Kentron,Gasoline,52000,21500,Mazda,6
2019,Kentron,Gasoline,120000,24500,Toyota,Camry
2010,Ashtarak,Gasoline,130000,4300,VAZ,(Lada) 2107
2003,Shengavit,Gasoline,175000,4200,MINI,Cooper hatchback
2018,Ajapnyak,Gasoline,127000,25000,Mercedes-Benz,C-Class
2001,Gyumri,Gasoline,370000,5000,Opel,Zafira
2004,Ajapnyak,Gasoline,200000,2500,Mercedes-Benz,C-Class
2004,Ayntap,Gasoline,120000,7000,Mitsubishi,Airtrek
2015,Arabkir,Gasoline,43765,14500,Kia,Optima
2020,Kentron,Gasoline,40000,32000,Volkswagen,Atlas
2018,Gyumri,Gasoline,59000,19200,Mazda,6
2018,Kentron,Gasoline,68000,51000,Mercedes-Benz,GLC Coupe
1997,Davtashen,Gasoline,62000,2900,VAZ,(Lada) 2106
2016,Arabkir,Gasoline,120000,12500,Toyota,Corolla
2000,Gavar,Gasoline,200000,3800,VAZ,(Lada) 2110
2012,Nor Nork,Gasoline,187000,16500,Toyota,Camry
2009,Artashat,Gasoline,102524,3500,Chevrolet,Lanos
2014,Ajapnyak,Gasoline,165000,16000,BMW,3 Series
2000,Malatia-Sebastia,Gasoline,262000,3600,Volkswagen,Golf hatchback
1999,Kentron,Gasoline,149800,4900,Opel,Astra hatchback
